epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,2.31308871,2.21878699,True,43.06,6.15,14.29,8.6,18.54,43.06,25.92,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.84457851,1.29551379,True,43.06,6.15,14.29,8.6,18.54,43.06,25.92,41.82,5.97,14.29,8.43,17.49,41.82,24.67
2,1.28031934,1.06649431,True,42.3,11.79,14.26,11.75,34.16,42.3,34.49,47.58,6.8,14.29,9.21,22.64,47.58,30.68
3,1.21142681,1.06813014,False,41.89,11.89,14.36,12.91,34.42,41.89,37.51,47.58,6.8,14.29,9.21,22.64,47.58,30.68
4,1.20645559,1.07301336,False,41.11,11.65,14.09,12.66,33.75,41.11,36.81,47.58,6.8,14.29,9.21,22.64,47.58,30.68
5,1.19714409,1.07344371,False,42.89,12.18,14.72,13.25,35.26,42.89,38.49,47.58,6.8,14.29,9.21,22.64,47.58,30.68
6,1.1994643,1.07192772,False,41.98,11.9,14.4,12.97,34.48,41.98,37.67,47.58,6.8,14.29,9.21,22.64,47.58,30.68
7,1.19711199,1.0728512,False,41.79,11.82,14.31,12.83,34.24,41.79,37.32,47.58,6.8,14.29,9.21,22.64,47.58,30.68
8,1.19559342,1.0719912,False,42.83,12.14,14.68,13.2,35.16,42.83,38.35,47.58,6.8,14.29,9.21,22.64,47.58,30.68
9,1.19341333,1.07201248,False,42.76,12.12,14.66,13.18,35.11,42.76,38.3,47.58,6.8,14.29,9.21,22.64,47.58,30.68
10,1.19361993,1.07030567,False,42.04,11.9,14.4,12.91,34.46,42.04,37.54,47.58,6.8,14.29,9.21,22.64,47.58,30.68
11,1.19264412,1.068788,False,41.92,11.85,14.35,12.85,34.33,41.92,37.38,48.11,20.28,14.47,9.62,62.12,48.11,31.89
12,1.18542955,1.06715013,False,42.86,12.15,14.68,13.18,35.19,42.86,38.3,51.65,19.46,15.69,12.19,59.84,51.65,39.51
13,1.18644803,1.06641519,True,43.24,12.27,14.81,13.3,35.53,43.24,38.64,57.3,18.11,17.77,16.11,56.1,57.3,51.07
14,1.18000925,1.06331392,True,44.86,12.8,15.35,13.74,37.03,44.86,39.94,59.26,17.77,18.57,17.36,55.24,59.26,54.71
15,1.1785147,1.06069827,True,45.2,12.86,15.5,13.95,37.21,45.2,40.52,61.68,17.8,19.57,18.53,55.54,61.68,58.09
16,1.17549521,1.0513169,True,46.81,13.37,16.07,14.5,38.66,46.81,42.07,59.33,17.9,18.57,17.34,55.61,59.33,54.66
17,1.16830325,1.04274573,True,47.8,13.65,16.41,14.8,39.49,47.8,42.93,58.32,17.92,18.17,16.77,55.6,58.32,53.01
18,1.16181566,1.03208789,True,49.73,14.24,17.08,15.41,41.17,49.73,44.69,60.11,18.05,18.85,17.68,56.09,60.11,55.65
19,1.15210199,1.02147089,True,50.84,14.56,17.47,15.78,42.07,50.84,45.75,61.02,18.11,19.2,18.09,56.31,61.02,56.88
20,1.14452424,1.00979609,True,51.52,14.77,17.7,15.99,42.69,51.52,46.36,61.58,18.13,19.41,18.34,56.42,61.58,57.6
21,1.13459611,1.0009635,True,52.57,15.08,18.07,16.33,43.58,52.57,47.33,62.46,18.27,19.74,18.68,56.89,62.46,58.63
22,1.1306738,0.99332769,True,52.3,14.99,17.98,16.25,43.33,52.3,47.09,62.32,18.27,19.68,18.62,56.88,62.32,58.45
