epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
42,0.84150655,0.70391218,False,68.34,19.64,23.7,21.38,56.96,68.34,61.85,82.56,23.74,26.41,24.99,74.01,82.56,78.01
43,0.83535831,0.71156303,False,68.51,19.69,23.76,21.44,57.09,68.51,62.0,82.11,23.62,26.26,24.85,73.63,82.11,77.59
44,0.82958358,0.69505574,False,68.92,19.78,23.89,21.57,57.35,68.92,62.38,82.63,23.75,26.43,25.01,74.06,82.63,78.07
45,0.83386377,0.70881542,False,68.62,19.7,23.79,21.47,57.09,68.62,62.11,82.0,23.53,26.25,24.81,73.4,82.0,77.45
46,0.83785501,0.7071292,False,68.76,19.75,23.84,21.52,57.25,68.76,62.24,81.86,23.51,26.19,24.77,73.32,81.86,77.33
47,0.82838437,0.70537283,False,69.1,19.85,23.96,21.63,57.56,69.1,62.55,82.56,23.73,26.41,24.99,74.0,82.56,78.01
48,0.82530459,0.69936563,False,69.35,19.88,24.03,21.7,57.64,69.35,62.77,82.56,23.74,26.4,24.99,74.02,82.56,78.01
49,0.82555511,0.69936363,False,69.2,19.86,23.99,21.66,57.58,69.2,62.64,82.6,23.75,26.42,25.0,74.03,82.6,78.04
50,0.82832623,0.71721758,False,68.84,19.74,23.86,21.54,57.23,68.84,62.31,81.89,23.5,26.22,24.78,73.3,81.89,77.35
51,0.82483893,0.70773765,False,69.09,19.81,23.95,21.62,57.43,69.09,62.54,82.21,23.62,26.3,24.88,73.64,82.21,77.67
52,0.82413672,0.71160947,False,69.06,19.81,23.94,21.61,57.43,69.06,62.5,81.68,23.45,26.14,24.72,73.14,81.68,77.16
53,0.8250606,0.72898616,False,69.52,19.93,24.09,21.75,57.77,69.52,62.92,81.72,23.54,26.12,24.74,73.36,81.72,77.24
54,0.82932222,0.7135935,False,69.25,19.85,24.0,21.67,57.51,69.25,62.68,82.46,23.76,26.35,24.96,74.04,82.46,77.94
