epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,2.37919,2.26580975,True,12.23,7.34,14.2,5.01,18.74,12.23,10.49,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.98954889,1.53337408,True,42.72,12.15,14.61,13.06,35.17,42.72,38.0,47.58,6.8,14.29,9.21,22.64,47.58,30.68
2,1.35494139,1.10405815,True,42.02,12.2,14.73,12.89,35.34,42.02,37.09,41.82,5.97,14.29,8.43,17.49,41.82,24.67
3,1.22312858,1.08147759,True,42.57,11.98,14.49,12.72,34.7,42.57,37.12,41.82,5.97,14.29,8.43,17.49,41.82,24.67
4,1.2016413,1.07754716,True,41.77,11.74,14.21,12.46,34.01,41.77,36.34,41.82,5.97,14.29,8.43,17.49,41.82,24.67
5,1.19624722,1.07974236,False,42.86,12.11,14.61,12.94,35.07,42.86,37.69,41.82,5.97,14.29,8.43,17.49,41.82,24.67
6,1.19239056,1.07976194,False,42.09,11.89,14.35,12.7,34.42,42.09,36.99,41.82,5.97,14.29,8.43,17.49,41.82,24.67
7,1.19032078,1.08006772,False,42.12,11.87,14.36,12.71,34.38,42.12,37.04,41.82,5.97,14.29,8.43,17.49,41.82,24.67
8,1.18878144,1.07946526,False,41.58,11.73,14.17,12.53,33.97,41.58,36.51,41.82,5.97,14.29,8.43,17.49,41.82,24.67
9,1.19025093,1.08033698,False,42.02,11.86,14.34,12.71,34.36,42.02,37.02,41.82,5.97,14.29,8.43,17.49,41.82,24.67
10,1.18628014,1.0807377,False,42.21,11.93,14.4,12.76,34.54,42.21,37.18,41.82,5.97,14.29,8.43,17.49,41.82,24.67
11,1.18679623,1.0808605,False,41.64,11.74,14.2,12.57,34.0,41.64,36.62,41.82,5.97,14.29,8.43,17.49,41.82,24.67
