epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.39472453,1.08437515,True,40.24,10.26,12.2,11.12,33.97,40.24,36.75,41.82,5.97,14.29,8.43,17.49,41.82,24.67
1,1.03277962,0.68903727,True,58.12,16.62,20.12,18.19,48.13,58.12,52.61,82.56,23.69,26.43,24.98,73.89,82.56,77.98
2,0.80960422,0.66062388,True,71.47,20.59,24.79,22.37,59.72,71.47,64.71,83.16,23.88,26.61,25.17,74.48,83.16,78.56
3,0.77711218,0.6798674,False,72.92,33.87,27.41,26.84,66.93,72.92,67.43,83.16,31.04,27.73,27.13,74.97,83.16,78.67
4,0.76787538,0.65362266,True,73.2,34.38,28.0,27.72,67.22,73.2,67.93,83.19,31.05,27.74,27.14,75.0,83.19,78.71
5,0.76482282,0.64015462,True,73.36,34.9,28.04,27.8,67.5,73.36,68.08,83.37,31.12,27.79,27.2,75.18,83.37,78.88
6,0.75220723,0.64986393,False,73.21,34.99,27.98,27.72,67.46,73.21,67.93,83.19,31.05,27.74,27.14,75.0,83.19,78.71
7,0.75172162,0.64930121,False,73.41,35.17,28.04,27.79,67.65,73.41,68.11,83.19,31.05,27.74,27.14,75.0,83.19,78.71
8,0.75236545,0.66435596,False,73.24,34.98,27.98,27.73,67.42,73.24,67.96,83.19,31.05,27.74,27.14,75.0,83.19,78.71
9,0.74767359,0.64653586,False,73.17,35.09,27.95,27.72,67.43,73.17,67.89,83.19,31.05,27.74,27.14,75.0,83.19,78.71
10,0.74762202,0.65574382,False,73.43,35.17,28.04,27.8,67.65,73.43,68.12,83.19,31.05,27.74,27.14,75.0,83.19,78.71
11,0.74680309,0.63144714,True,73.41,35.13,28.03,27.79,67.54,73.41,68.1,83.33,31.1,27.78,27.19,75.15,83.33,78.84
12,0.74784127,0.64653081,False,73.3,35.13,28.0,27.75,67.55,73.3,68.0,83.19,31.05,27.74,27.14,75.0,83.19,78.71
13,0.74835145,0.64856104,False,73.07,35.05,27.92,27.68,67.29,73.07,67.79,83.19,31.05,27.74,27.14,75.0,83.19,78.71
14,0.74357122,0.65210198,False,73.36,35.14,28.02,27.77,67.58,73.36,68.05,83.19,31.05,27.74,27.14,75.0,83.19,78.71
15,0.74415683,0.65714932,False,73.64,35.2,28.11,27.86,67.73,73.64,68.31,83.19,31.05,27.74,27.14,75.0,83.19,78.71
16,0.73588518,0.64156269,False,73.82,35.23,28.17,27.92,67.8,73.82,68.47,83.16,31.04,27.73,27.13,74.97,83.16,78.67
17,0.72830337,0.6275855,True,73.91,35.25,28.19,27.94,67.84,73.91,68.55,83.09,31.01,27.71,27.11,74.88,83.09,78.6
18,0.72784391,0.65028943,False,74.19,35.31,28.28,28.03,68.02,74.19,68.81,83.33,31.1,27.78,27.19,75.15,83.33,78.85
19,0.72662337,0.6340327,False,74.02,35.27,28.23,27.98,67.9,74.02,68.65,83.23,31.06,27.75,27.15,75.02,83.23,78.74
20,0.71765968,0.63042172,False,74.02,35.13,28.23,27.97,67.84,74.02,68.65,83.4,31.13,27.8,27.21,75.22,83.4,78.91
21,0.72387041,0.65773409,False,74.08,35.28,28.25,27.99,67.95,74.08,68.71,83.37,31.11,27.79,27.2,75.18,83.37,78.88
22,0.71559405,0.64869795,False,74.31,35.34,28.32,28.07,68.1,74.31,68.91,82.98,30.98,27.68,27.08,74.78,82.98,78.5
23,0.71222385,0.65812195,False,74.15,35.15,28.27,28.01,67.89,74.15,68.76,83.16,31.04,27.73,27.13,74.95,83.16,78.67
24,0.71893835,0.66337333,False,73.82,35.18,28.15,27.91,67.62,73.82,68.46,83.23,31.06,27.75,27.15,75.03,83.23,78.74
25,0.71351522,0.65300751,False,74.42,35.09,28.35,28.09,68.01,74.42,69.01,82.42,30.78,27.51,26.9,74.21,82.42,77.94
26,0.71090303,0.64430155,False,74.43,35.35,28.36,28.1,68.12,74.43,69.01,83.3,31.09,27.77,27.18,75.1,83.3,78.81
27,0.70531636,0.6524271,False,74.33,35.32,28.32,28.07,68.04,74.33,68.93,83.37,31.12,27.79,27.2,75.2,83.37,78.89
28,0.70792372,0.6798552,False,74.23,35.16,28.29,28.03,67.9,74.23,68.84,83.16,31.05,27.73,27.14,74.99,83.16,78.69
29,0.70672716,0.65821953,False,74.05,35.23,28.22,27.98,67.75,74.05,68.67,83.4,31.15,27.8,27.22,75.27,83.4,78.94
30,0.70551536,0.63929383,False,73.88,35.2,28.17,27.93,67.7,73.88,68.52,83.19,31.07,27.74,27.15,75.05,83.19,78.73
31,0.69924999,0.66525198,False,74.59,35.39,28.41,28.15,68.24,74.59,69.16,83.4,31.15,27.8,27.22,75.27,83.4,78.94
32,0.70171472,0.66195745,False,74.38,49.47,33.09,35.21,68.01,74.38,68.97,82.95,30.98,27.67,27.08,74.78,82.95,78.49
33,0.70669712,0.67257913,False,74.36,35.32,28.33,28.08,68.02,74.36,68.95,83.37,31.13,27.79,27.21,75.24,83.37,78.91
34,0.70149192,0.65133882,False,74.36,56.75,33.1,35.26,73.11,74.36,68.99,82.77,30.92,27.62,27.02,74.61,82.77,78.31
35,0.68626857,0.67126676,False,75.77,50.0,28.82,28.55,79.23,75.77,70.24,82.74,30.9,27.61,27.0,74.54,82.74,78.26
36,0.68107686,0.67441649,False,76.67,45.48,29.14,28.87,76.57,76.67,71.09,82.46,30.81,27.52,26.92,74.27,82.46,77.99
37,0.67625455,0.65529881,False,76.54,40.57,29.1,28.83,73.1,76.54,70.99,82.7,30.89,27.6,26.99,74.52,82.7,78.23
38,0.67144286,0.68213935,False,76.74,50.27,33.89,35.96,69.97,76.74,71.13,81.93,30.63,27.37,26.75,73.75,81.93,77.47
