epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
16,0.76583484,0.63954531,True,72.46,20.74,25.09,22.67,60.08,72.46,65.6,83.4,23.98,26.68,25.25,74.75,83.4,78.8
17,0.75749557,0.65762284,False,72.51,20.73,25.09,22.68,60.05,72.51,65.63,83.19,23.89,26.62,25.18,74.5,83.19,78.59
18,0.74533892,0.64688752,False,72.96,20.85,25.25,22.82,60.4,72.96,66.04,83.3,23.94,26.65,25.21,74.64,83.3,78.7
19,0.74142719,0.64416216,False,73.33,20.95,25.37,22.94,60.69,73.33,66.38,83.19,23.9,26.62,25.18,74.51,83.19,78.59
20,0.73788098,0.64584152,False,73.48,21.0,25.42,22.99,60.8,73.48,66.51,82.35,23.6,26.37,24.91,73.65,82.35,77.76
21,0.73751372,0.67563133,False,73.33,20.95,25.37,22.94,60.67,73.33,66.37,78.7,22.49,25.31,23.76,70.38,78.7,74.13
22,0.73058122,0.65189444,False,73.87,21.1,25.55,23.11,61.11,73.87,66.86,82.0,23.49,26.27,24.8,73.32,82.0,77.42
23,0.71412273,0.66641132,False,74.5,21.27,25.75,23.3,61.58,74.5,67.42,83.16,23.88,26.61,25.17,74.48,83.16,78.56
24,0.71061362,0.68434929,False,74.65,21.31,25.8,23.34,61.69,74.65,67.55,76.91,22.0,24.78,23.19,68.92,76.91,72.32
25,0.70537513,0.68422133,False,75.07,21.43,25.94,23.47,62.03,75.07,67.93,77.51,22.16,24.95,23.38,69.37,77.51,72.94
26,0.69998764,0.70224625,False,75.24,21.48,26.0,23.53,62.17,75.24,68.09,76.11,21.81,24.55,22.93,68.35,76.11,71.49
27,0.69503058,0.65386989,False,75.41,21.53,26.05,23.58,62.3,75.41,68.23,82.14,23.54,26.31,24.85,73.45,82.14,77.55
28,0.6939328,0.65837153,False,75.52,21.56,26.09,23.61,62.39,75.52,68.33,82.04,23.5,26.28,24.81,73.34,82.04,77.44
29,0.68902082,0.64604763,False,75.88,21.66,26.21,23.72,62.69,75.88,68.65,82.67,23.71,26.47,25.01,73.96,82.67,78.07
30,0.69069904,0.64905893,False,75.91,21.67,26.22,23.73,62.71,75.91,68.68,83.3,23.91,26.66,25.21,74.58,83.3,78.68
31,0.69016329,0.65015812,False,76.05,21.71,26.27,23.78,62.83,76.05,68.81,83.33,23.94,26.66,25.22,74.65,83.33,78.73
32,0.68792441,0.64769519,False,76.12,21.73,26.3,23.8,62.89,76.12,68.88,83.02,23.82,26.57,25.12,74.3,83.02,78.41
33,0.68485499,0.64736326,False,76.4,21.81,26.4,23.89,63.12,76.4,69.13,83.4,23.97,26.68,25.24,74.73,83.4,78.8
34,0.68029308,0.6486552,False,76.3,21.78,26.36,23.85,63.04,76.3,69.04,82.56,23.67,26.44,24.98,73.85,82.56,77.96
35,0.67877532,0.65547637,False,76.28,21.78,26.35,23.85,63.02,76.28,69.01,80.95,23.15,25.96,24.47,72.31,80.95,76.37
36,0.68377431,0.65533127,False,76.29,21.78,26.35,23.85,63.03,76.29,69.02,81.26,23.25,26.06,24.57,72.6,81.26,76.68
37,0.67747066,0.65262001,False,76.57,21.86,26.45,23.94,63.26,76.57,69.28,83.54,24.03,26.72,25.29,74.91,83.54,78.94
