epoch,train_loss,test_loss,best_test_loss,train_accuracy,train_macro avg_precision,train_macro avg_recall,train_macro avg_f1-score,train_weighted avg_precision,train_weighted avg_recall,train_weighted avg_f1-score,test_accuracy,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score
0,1.49566712,1.0653411,True,38.27,12.76,14.27,13.22,34.72,38.27,35.75,47.58,6.8,14.29,9.21,22.64,47.58,30.68
1,1.18924047,1.07398451,False,43.23,12.24,14.79,13.22,35.45,43.23,38.45,59.68,18.0,19.51,17.64,56.81,59.68,54.81
2,1.15417832,0.9576591,True,49.05,14.05,16.83,15.18,40.61,49.05,44.03,73.54,21.38,23.4,22.22,66.55,73.54,69.48
3,1.02718667,0.77529752,True,60.93,17.41,21.04,19.04,50.34,60.93,55.11,81.16,23.26,25.98,24.54,72.6,81.16,76.64
4,0.94350757,0.72541083,True,64.73,18.56,22.44,20.25,53.8,64.73,58.57,82.11,23.59,26.26,24.84,73.56,82.11,77.57
5,0.92334753,0.73030328,False,65.79,18.96,22.84,20.58,54.98,65.79,59.5,82.49,23.75,26.36,24.97,74.03,82.49,77.96
6,0.90531657,0.72608414,False,66.3,19.14,23.02,20.74,55.55,66.3,59.97,82.18,23.63,26.28,24.87,73.67,82.18,77.64
7,0.89441422,0.79365183,False,66.61,19.26,23.14,20.84,55.89,66.61,60.24,80.07,23.38,25.51,24.26,72.68,80.07,75.76
8,0.89038867,0.73303466,False,66.78,19.33,23.2,20.89,56.1,66.78,60.4,81.72,23.63,26.09,24.75,73.59,81.72,77.27
9,0.88014524,0.72581598,False,66.98,19.42,23.28,20.95,56.37,66.98,60.57,81.58,23.63,26.04,24.71,73.54,81.58,77.15
10,0.87017121,0.7125117,True,66.91,19.4,23.25,20.93,56.31,66.91,60.51,81.33,23.62,25.94,24.64,73.5,81.33,76.94
11,0.86419325,0.71668673,False,67.22,19.43,23.35,21.03,56.38,67.22,60.81,82.35,23.76,26.31,24.93,74.0,82.35,77.85
12,0.84865602,0.70586455,True,67.55,19.5,23.45,21.13,56.58,67.55,61.11,82.0,23.75,26.17,24.84,73.93,82.0,77.55
13,0.83525917,0.66438934,True,68.35,19.72,23.73,21.39,57.22,68.35,61.85,83.23,23.99,26.6,25.2,74.73,83.23,78.67
14,0.80407692,0.65977627,True,70.15,20.18,24.34,21.95,58.54,70.15,63.49,83.4,24.0,26.67,25.25,74.8,83.4,78.82
15,0.78543073,0.65749412,True,71.47,20.52,24.78,22.37,59.48,71.47,64.7,83.44,23.99,26.69,25.26,74.78,83.44,78.84
